2024-08-29 20:49:21,809 - default_logger - INFO - Starting main process
2024-08-29 20:49:21,809 - default_logger - INFO - Starting main process
2024-08-29 20:49:21,809 - default_logger - INFO - Starting main process
2024-08-29 20:49:21,972 - default_logger - INFO - Getting dataset: california
2024-08-29 20:49:21,972 - default_logger - INFO - Getting dataset: california
2024-08-29 20:49:21,972 - default_logger - INFO - Getting dataset: california
2024-08-29 20:49:21,972 - default_logger - INFO - Getting dataset: california
2024-08-29 20:49:21,973 - default_logger - INFO - Loading California Housing dataset
2024-08-29 20:49:21,973 - default_logger - INFO - Loading California Housing dataset
2024-08-29 20:49:21,973 - default_logger - INFO - Loading California Housing dataset
2024-08-29 20:49:21,973 - default_logger - INFO - Loading California Housing dataset
2024-08-29 20:49:21,973 - default_logger - INFO - Loading California Housing dataset
2024-08-29 20:49:21,989 - default_logger - INFO - California Housing dataset loaded. Shape: torch.Size([20640, 8])
2024-08-29 20:49:21,989 - default_logger - INFO - California Housing dataset loaded. Shape: torch.Size([20640, 8])
2024-08-29 20:49:21,989 - default_logger - INFO - California Housing dataset loaded. Shape: torch.Size([20640, 8])
2024-08-29 20:49:21,989 - default_logger - INFO - California Housing dataset loaded. Shape: torch.Size([20640, 8])
2024-08-29 20:49:21,989 - default_logger - INFO - California Housing dataset loaded. Shape: torch.Size([20640, 8])
2024-08-29 20:49:21,997 - default_logger - INFO - Starting model training
2024-08-29 20:49:21,997 - default_logger - INFO - Starting model training
2024-08-29 20:49:21,997 - default_logger - INFO - Starting model training
2024-08-29 20:49:21,997 - default_logger - INFO - Starting model training
2024-08-29 20:49:21,997 - default_logger - INFO - Starting model training
2024-08-29 20:49:21,997 - default_logger - INFO - Starting score model training
2024-08-29 20:49:21,997 - default_logger - INFO - Starting score model training
2024-08-29 20:49:21,997 - default_logger - INFO - Starting score model training
2024-08-29 20:49:21,997 - default_logger - INFO - Starting score model training
2024-08-29 20:49:21,997 - default_logger - INFO - Starting score model training
2024-08-29 20:49:21,997 - default_logger - INFO - Starting score model training
2024-08-29 20:49:23,469 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,469 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,469 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,469 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,469 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,469 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,477 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,477 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,477 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,477 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,477 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,477 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,499 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,499 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,499 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,499 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,499 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,499 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,503 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,503 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,503 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,503 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,503 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,503 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,506 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,506 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,506 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,506 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,506 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,506 - default_logger - WARNING - Encountered NaN loss, skipping batch
