2024-08-29 21:50:36,632 - default_logger - INFO - Starting main process
2024-08-29 21:50:36,799 - default_logger - INFO - Getting dataset: california
2024-08-29 21:50:36,800 - default_logger - INFO - Loading California Housing dataset
2024-08-29 21:50:36,819 - default_logger - INFO - California Housing dataset loaded. Shape: torch.Size([20640, 8])
2024-08-29 21:50:36,840 - default_logger - INFO - Model architecture:
ScoreNetwork(
  (time_embed): Sequential(
    (0): Linear(in_features=1, out_features=256, bias=True)
    (1): SiLU()
    (2): Linear(in_features=256, out_features=256, bias=True)
  )
  (input_proj): Linear(in_features=8, out_features=256, bias=True)
  (layers): ModuleList(
    (0-7): 8 x Sequential(
      (0): Linear(in_features=256, out_features=256, bias=True)
      (1): LayerNorm((256,), eps=1e-05, elementwise_affine=True)
      (2): SiLU()
      (3): Linear(in_features=256, out_features=256, bias=True)
      (4): LayerNorm((256,), eps=1e-05, elementwise_affine=True)
      (5): SiLU()
    )
  )
  (final): Linear(in_features=256, out_features=8, bias=True)
)
2024-08-29 21:50:36,845 - default_logger - INFO - Starting score model training
2024-08-29 21:50:38,143 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,268 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,371 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,410 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,446 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,484 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,519 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,559 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,602 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,684 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,732 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,776 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,819 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,868 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,906 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,953 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:38,999 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,045 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,189 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,304 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,348 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,457 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,508 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,550 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,596 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,646 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,683 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,713 - default_logger - WARNING - Loss is not finite: nan
